17,Josh Allen,29,QB,,,237,6-5,ReedleyWyoming,5/21/1996,7,,Buffalo Bills / 1st / 7th pick / 2018,AlleJo02
70,Alec Anderson,26,OL,,,305,6-5,UCLA,10/3/1999,1,,,AndeAl01
44,Joe Andreessen,25,LB,,,232,6-1,BryantBuffalo,2/7/2000,1,,,AndrJo02
2,Tyler Bass,28,K,,,183,5-10,Georgia Southern,2/14/1997,5,,Buffalo Bills / 6th / 188th pick / 2020,BassTy00
61,Jacob Bayer,23,C,,,310,6-3,Arkansas State,12/12/2002,Rook,,,-9999
47,Christian Benford,25,DB,,,205,6-1,Villanova,9/21/2000,3,,Buffalo Bills / 6th / 185th pick / 2022,BenfCh00
8,Terrel Bernard,26,LB,,,224,6-1,Baylor,5/7/1999,3,,Buffalo Bills / 3rd / 89th pick / 2022,BernTe00
24,Cole Bishop,23,S,,,207,6-2,Utah,10/24/2002,1,,Buffalo Bills / 2nd / 60th pick / 2024,BishCo00
97,Joey Bosa,30,DE,,,280,6-5,Ohio St.,7/11/1995,9,,San Diego Chargers / 1st / 3rd pick / 2016,BosaJo00
79,Spencer Brown,27,T,,,311,6-6,Northern Iowa,2/28/1998,4,,Buffalo Bills / 3rd / 93rd pick / 2021,BrowSp00
6,Shane Buechele,27,QB,,,210,6-0,TexasSMU,1/8/1998,Rook,,,BuecSh00
32,Deon Cain,29,WR,,,202,6-2,Clemson,8/9/1996,6,,Indianapolis Colts / 6th / 185th pick / 2018,CainDe00
90,DeWayne Carter,25,DT,,,305,6-3,Duke,12/10/2000,1,,Buffalo Bills / 3rd / 95th pick / 2024,CartDe03
35,Jimmy Ciarlo,24,LB,,,225,6-2,Army,2/28/2001,Rook,,,CiarJi00
67,Travis Clayton,24,OT,,,301,6-7,None,2/17/2001,Rook,,Buffalo Bills / 7th / 221st pick / 2024,ClayTr00
29,Brandon Codrington,25,CB,,,185,5-9,North Carolina Central,11/17/2000,1,,,CodrBr00
,Keon Coleman,22,WR,,,215,6-4,Michigan St.Florida St.,5/17/2003,1,,Buffalo Bills / 2nd / 33rd pick / 2024,ColeKe02
4,James Cook,26,RB,,,190,5-11,Georgia,9/25/1999,3,,Buffalo Bills / 2nd / 63rd pick / 2022,CookJa01
33,Te'Cory Couch,26,CB,,,175,5-10,Miami (FL),9/6/1999,Rook,,,CoucTe00
84,Zach Davidson,27,TE,,,251,6-7,Central Missouri St.,7/15/1998,1,,Minnesota Vikings / 5th / 168th pick / 2021,DaviZa00
36,Caden Davis,,K,,,210,,Mississippi,,Rook,,,DaviCa04
22,Ray Davis,26,RB,,,220,5-8,TempleVanderbiltKentucky,11/11/1999,1,,Buffalo Bills / 4th / 128th pick / 2024,DaviRa04
73,Dion Dawkins,31,OG,,,320,6-5,Temple,4/26/1994,8,,Buffalo Bills / 2nd / 63rd pick / 2017,DawkDi00
76,David Edwards,28,G,,,308,6-6,Wisconsin,3/20/1997,6,,Los Angeles Rams / 5th / 169th pick / 2019,EdwaDa01
65,Mike Edwards,27,,,,363,6-5,,11/10/1998,Rook,,,EdwaMi02
57,A.J. Epenesa,27,DL,,,260,6-6,Iowa,9/15/1998,5,,Buffalo Bills / 2nd / 54th pick / 2020,EpenAJ00
21,Darrynton Evans,27,RB,,,203,5-10,Appalachian St.,7/9/1998,5,,Tennessee Titans / 3rd / 93rd pick / 2020,EvanDa02
60,Dan Feeney,31,OG,,,305,6-4,Indiana,5/29/1994,8,,Los Angeles Chargers / 3rd / 71st pick / 2017,FeenDa00
69,Reid Ferguson,31,LS,,,235,6-2,LSU,3/24/1994,8,,,FergRe00
28,Darrick Forrest,26,S,,,200,5-11,Cincinnati,5/22/1999,4,,Washington Football Team / 5th / 163rd pick / 2021,ForrDa00
41,Reggie Gilliam,28,TE,,,244,6-0,Toledo,8/20/1997,5,,,GillRe00
20,Frank Gore,23,RB,,,195,5-8,Southern Miss,3/13/2002,Rook,,,GoreFr01
89,Stephen Gosnell,,WR,,,198,6-2,Virginia Tech,,Rook,,,-9999
75,Richard Gouraige,27,OL,,,306,6-5,Florida,10/15/1998,1,,,GourRi00
68,Tylan Grable,26,OL,,,309,6-5,Jacksonville St.Central Florida,10/4/1999,1,,Buffalo Bills / 6th / 204th pick / 2024,GrabTy00
53,Kendrick Green,27,OL,,,310,6-3,Illinois,12/22/1998,4,,Pittsburgh Steelers / 3rd / 87th pick / 2021,GreeKe02
31,Maxwell Hairston,22,CB,,,186,,Kentucky,8/6/2003,Rook,,Buffalo Bills / 1st / 30th pick / 2025,HairMa00
19,KJ Hamler,26,WR,,,178,5-9,Penn St.,7/8/1999,5,,Denver Broncos / 2nd / 46th pick / 2020,HamlKJ00
3,Damar Hamlin,27,DB,,,200,6-0,Pittsburgh,3/24/1998,4,,Buffalo Bills / 6th / 212th pick / 2021,HamlDa00
37,Jordan Hancock,22,SAF,,,195,,Ohio St.,8/12/2003,Rook,,Buffalo Bills / 5th / 170th pick / 2025,HancJo00
25,Daequan Hardy,24,CB,,,178,5-9,Penn St.,6/13/2001,Rook,,Buffalo Bills / 6th / 219th pick / 2024,HardDa02
72,Marcus Harris,24,DT,,,295,6-3,Oregon St.IdahoCalifornia,3/6/2001,Rook,,Tennessee Titans / 6th / 183rd pick / 2025,HarrMa10
85,Jackson Hawes,25,TE,,,255,,YaleGeorgia Tech,12/6/2000,Rook,,Buffalo Bills / 5th / 173rd pick / 2025,HaweJa00
55,Michael Hoecht,28,DT,,,267,6-4,Brown,10/5/1997,4,,,HoecMi00
52,Justin Hollins,29,DE,,,248,6-5,Oregon,1/15/1996,6,,Denver Broncos / 5th / 156th pick / 2019,HollJu00
46,Ja'Marcus Ingram,28,CB,,,190,6-2,Utah St.Texas TechBuffalo,9/2/1997,3,,,IngrJa00
23,Dane Jackson,29,CB,,,180,5-11,Pittsburgh,11/29/1996,5,,Buffalo Bills / 7th / 239th pick / 2020,JackDa02
94,Landon Jackson,22,DE,,,282,,LSUArkansas,1/2/2003,Rook,,Buffalo Bills / 3rd / 72nd pick / 2025,JackLa03
49,Keonta Jenkins,,LB,,,219,6-3,Virginia Tech,,Rook,,,-9999
7,Taron Johnson,29,CB,,,192,5-11,Weber St.,7/27/1996,7,,Buffalo Bills / 4th / 121st pick / 2018,JohnTa01
26,Ty Johnson,28,RB,,,210,5-10,Maryland,9/17/1997,6,,Detroit Lions / 6th / 186th pick / 2019,JohnTy02
92,DaQuan Jones,34,DT,,,320,6-4,Penn St.,12/17/1991,11,,Tennessee Titans / 4th / 112th pick / 2014,JoneDa04
86,Dalton Kincaid,26,TE,,,240,6-4,San DiegoUtah,10/18/1999,2,,Buffalo Bills / 1st / 25th pick / 2023,KincDa00
88,Dawson Knox,29,TE,,,254,6-4,Mississippi,11/14/1996,6,,Buffalo Bills / 3rd / 96th pick / 2019,KnoxDa00
83,Keleki Latu,23,TE,,,244,6-7,Washington,8/13/2002,Rook,,,-9999
39,Cameron Lewis,28,DB,,,183,5-9,Buffalo,4/13/1997,5,,,LewiCa00
93,Zion Logue,24,DL,,,314,6-6,Georgia,7/13/2001,1,,Atlanta Falcons / 6th / 197th pick / 2024,LoguZi00
77,Chase Lundt,25,OL,,,305,,Connecticut,6/16/2000,Rook,,Buffalo Bills / 6th / 206th pick / 2025,LundCh00
66,Connor McGovern,28,G,,,318,6-5,Penn St.,11/3/1997,5,,Dallas Cowboys / 3rd / 90th pick / 2019,McGoCo01
58,Matt Milano,31,OLB,,,223,6-0,Boston Col.,7/28/1994,8,,Buffalo Bills / 5th / 163rd pick / 2017,MilaMa00
18,Elijah Moore,25,WR,,,180,5-10,Mississippi,3/27/2000,4,,New York Jets / 2nd / 34th pick / 2021,MoorEl00
99,Larry Ogunjobi,31,DT,,,305,6-3,Charlotte,6/3/1994,8,,Cleveland Browns / 3rd / 65th pick / 2017,OgunLa00
91,Ed Oliver,28,DL,,,287,6-1,Houston,12/12/1997,6,,Buffalo Bills / 1st / 9th pick / 2019,OlivEd00
30,Wande Owens,,S,,,210,5-11,New Hampshire,,Rook,,,-9999
5,Josh Palmer,26,WR,,,210,6-1,Tennessee,9/22/1999,4,,Los Angeles Chargers / 3rd / 77th pick / 2021,PalmJo00
81,Kaden Prather,23,WR,,,210,,West VirginiaMaryland,9/6/2002,Rook,,Buffalo Bills / 7th / 240th pick / 2025,PratKa00
9,Taylor Rapp,28,S,,,208,6-0,Washington,12/22/1997,6,,Los Angeles Rams / 2nd / 61st pick / 2019,RappTa00
40,Brad Robbins,27,P,,,205,6-1,Michigan,10/6/1998,2,,Cincinnati Bengals / 6th / 217th pick / 2023,RobbBr00
71,Casey Rogers,27,DL,,,305,6-5,NebraskaOregon,12/18/1998,1,,,RogeCa00
50,Gregory Rousseau,25,DL,,,266,6-6,Miami (FL),4/5/2000,4,,Buffalo Bills / 1st / 30th pick / 2021,RousGr00
1,Curtis Samuel,29,WR,,,195,5-11,Ohio St.,8/11/1996,8,,Carolina Panthers / 2nd / 40th pick / 2017,SamuCu00
98,T.J. Sanders,22,DT,,,290,,South Carolina,7/30/2003,Rook,,Buffalo Bills / 2nd / 41st pick / 2025,SandTJ00
10,Khalil Shakir,25,WR,,,190,6-0,Boise St.,2/3/2000,3,,Buffalo Bills / 5th / 148th pick / 2022,ShakKh00
59,Paris Shand,24,DE,,,268,6-4,LSU,5/7/2001,Rook,,,-9999
80,Tyrell Shavers,26,WR,,,211,6-4,AlabamaMississippi St.San Diego St.,8/18/1999,1,,,ShavTy00
15,Laviska Shenault Jr.,27,WR,,,224,6-1,Colorado,10/5/1998,5,,Jacksonville Jaguars / 2nd / 42nd pick / 2020,ShenLa00
87,Matt Sokol,30,TE,,,249,6-5,Michigan St.,11/9/1995,5,,,SokoMa00
56,Javon Solomon,24,DE,,,247,6-1,Troy,1/17/2001,1,,Buffalo Bills / 5th / 168th pick / 2024,SoloJa00
43,Dorian Strong,23,CB,,,185,,Virginia Tech,3/14/2002,Rook,,Buffalo Bills / 6th / 177th pick / 2025,StroDo01
45,Shaq Thompson,31,OLB,,,230,6-0,Washington,4/21/1994,10,,Carolina Panthers / 1st / 25th pick / 2015,ThomSh01
64,O'Cyrus Torrence,25,OL,,,347,6-5,LouisianaFlorida,1/20/2000,2,,Buffalo Bills / 2nd / 59th pick / 2023,TorrOC00
11,Mitchell Trubisky,31,QB,,,222,6-3,North Carolina,8/20/1994,8,,Chicago Bears / 1st / 2nd pick / 2017,TrubMi00
48,Edefuan Ulofoshio,25,LB,,,239,6-1,Washington,1/23/2000,1,,Buffalo Bills / 5th / 160th pick / 2024,UlofEd00
74,Ryan Van Demark,27,T,,,307,6-6,Connecticut,3/22/1998,2,,,VanDRy00
13,Jalen Virgil,27,WR,,,210,6-1,Appalachian St.,7/13/1998,3,,,VirgJa00
96,Deone Walker,21,DT,,,345,,Kentucky,3/11/2004,Rook,,Buffalo Bills / 4th / 109th pick / 2025,WalkDe04
14,Mike White,30,QB,,,216,6-5,South FloridaWestern Kentucky,3/25/1995,4,,Dallas Cowboys / 5th / 171st pick / 2018,WhitMi01
27,Tre'Davious White,30,CB,,,196,5-9,LSU,1/16/1995,8,,Buffalo Bills / 1st / 27th pick / 2017,WhitTr01
82,Kristian Wilkerson,28,WR,,,214,6-1,SE Missouri St.,1/10/1997,5,,,WilkKr00
42,Dorian Williams,24,LB,,,230,6-2,Tulane,6/8/2001,2,,Buffalo Bills / 3rd / 91st pick / 2023,WillDo04
,TaMuarion Wilson,,CB,,,215,,Central Arkansas,,Rook,,,WilsTa01
62,Sedrick Van Pran-Granger (PUP),24,OL,,,310,6-4,Georgia,10/23/2001,1,,Buffalo Bills / 5th / 141st pick / 2024,VanPSe00